date,value
2018-04-26T20:21:46,57
2018-04-26T20:27:06,62
2018-04-26T20:31:39,56
2018-04-26T20:32:09,51
2018-04-26T20:32:13,65
2018-04-26T20:32:15,64
2018-04-26T20:32:25,58
2018-04-26T20:32:30,60
2018-04-26T20:32:35,60
2018-04-26T20:32:37,60
2018-04-26T20:32:41,58
2018-04-26T20:38:24,67
2018-04-26T20:28:47,63
2018-04-26T20:42:39,76
2018-04-26T20:46:19,62
2018-04-26T20:50:01,59
2018-04-26T20:53:26,60
2018-04-26T21:00:59,65
2018-04-26T21:10:37,80
2018-04-26T21:16:38,69
2018-04-26T21:18:50,68
2018-04-26T21:26:56,67
2018-04-26T21:27:00,66
2018-04-26T21:27:03,64
2018-04-26T21:27:12,63
2018-04-26T21:23:15,67
2018-04-26T21:32:39,80
2018-04-26T21:36:27,74
2018-04-26T21:36:32,74
2018-04-26T21:36:37,74
2018-04-26T21:36:42,75
2018-04-26T21:36:46,76
2018-04-26T21:36:48,76
2018-04-26T21:36:53,76
2018-04-26T21:36:58,77
2018-04-26T21:37:03,77
2018-04-26T21:37:08,77
2018-04-26T21:37:13,78
2018-04-26T21:37:22,87
2018-04-26T21:37:23,87
2018-04-26T21:37:28,87
2018-04-26T21:37:35,83
2018-04-26T21:37:39,79
2018-04-26T21:38:31,107
2018-04-26T21:38:38,85
2018-04-26T21:38:46,87
2018-04-26T21:38:52,86
2018-04-26T21:38:53,86
2018-04-26T21:38:59,85
2018-04-26T21:39:43,106
2018-04-26T21:39:44,106
2018-04-26T21:41:16,89
2018-04-26T21:41:17,88
2018-04-26T21:41:48,81
2018-04-26T21:41:51,81
2018-04-26T21:42:04,84
2018-04-26T21:42:05,84
2018-04-26T21:43:11,84
2018-04-26T21:43:14,84
2018-04-26T21:43:17,84
2018-04-26T21:43:27,83
2018-04-26T21:43:28,83
2018-04-26T21:43:37,81
2018-04-26T21:43:42,81
2018-04-26T21:44:17,76
2018-04-26T21:44:19,76
2018-04-26T21:44:31,79
