date,dateString,total_victims,event,location,age_of_shooter,race,gender,city,state,injured,fatalities,weapon_type
2019-08-04T00:00:00Z,"August 04, 2019",45,Oregon District shooting,"Dayton, Ohio",24,White,M,Dayton,Ohio,36,9,rifle
2019-08-03T00:00:00Z,"August 03, 2019",62,El Paso Walmart shooting,"El Paso, Texas",21,White,M,El Paso,Texas,40,22,semiautomatic rifle
2019-07-28T00:00:00Z,"July 28, 2019",15,Gilroy garlic festival shooting,"Gilroy, California",19,Unknown race,M,Gilroy,California,12,3,semiautomatic rifle
2019-05-31T00:00:00Z,"May 31, 2019",16,Virginia Bch municipal building shooting,"Virginia Beach, Virginia",40,Black,M,Virginia Beach,Virginia,4,12,2 handguns
2019-02-15T00:00:00Z,"February 15, 2019",11,Harry Pratt Co. warehouse shooting,"Aurora, Illinois",45,Black,M,Aurora,Illinois,6,5,handgun
2019-01-24T00:00:00Z,"January 24, 2019",4,Pennsylvania hotel bar shooting,"State College, Pennsylvania",21,White,M,State College,Pennsylvania,1,3,handgun
2019-01-23T00:00:00Z,"January 23, 2019",5,SunTrust bank shooting,"Sebring, Florida",21,White,M,Sebring,Florida,0,5,handgun
2018-11-19T00:00:00Z,"November 19, 2018",3,Mercy Hospital shooting,"Chicago, Illinois",32,Latino,M,Chicago,Illinois,0,3,semiautomatic handgun
2018-11-07T00:00:00Z,"November 07, 2018",34,Thousand Oaks nightclub shooting,"Thousand Oaks, California",28,Unknown race,M,Thousand Oaks,California,22,12,semiautomatic handgun
2018-10-27T00:00:00Z,"October 27, 2018",17,Tree of Life synagogue shooting,"Pittsburgh, Pennsylvania",46,White,M,Pittsburgh,Pennsylvania,6,11,semiautomatic rifle; semiautomatic handguns
2018-09-20T00:00:00Z,"September 20, 2018",6,Rite Aid warehouse shooting,"Perryman, Maryland",26,Black,F,Perryman,Maryland,3,3,semiautomatic handgun
2018-09-12T00:00:00Z,"September 12, 2018",5,T&T Trucking shooting,"Bakersfield, California",54,Latino,M,Bakersfield,California,0,5,handgun
2018-09-06T00:00:00Z,"September 06, 2018",5,Fifth Third Center shooting,"Cincinnati, Ohio",29,Latino,M,Cincinnati,Ohio,2,3,semiautomatic handgun
2018-06-28T00:00:00Z,"June 28, 2018",7,Capital Gazette shooting,"Annapolis, Maryland",38,White,M,Annapolis,Maryland,2,5,shotgun
2018-05-18T00:00:00Z,"May 18, 2018",23,Santa Fe High School shooting,"Santa Fe, Texas",17,White,M,Santa Fe,Texas,13,10,shotgun; .38 revolver
2018-04-22T00:00:00Z,"April 22, 2018",8,Waffle House shooting,"Nashville, Tennessee",29,White,M,Nashville,Tennessee,4,4,semiautomatic rifle
2018-03-09T00:00:00Z,"March 09, 2018",3,Yountville veterans home shooting,"Yountville, California",36,Asian,M,Yountville,California,0,3,semiautomatic rifle; shotgun
2018-02-14T00:00:00Z,"February 14, 2018",34,Marjory Stoneman Douglas High School shooting,"Parkland, Florida",19,White,M,Parkland,Florida,17,17,semiautomatic rifle
