date,value
2018-05-01T00:03,70
2018-05-01T00:06,68
2018-05-01T00:11,62
2018-05-01T00:17,60
2018-05-01T00:23,70
2018-05-01T00:30,63
2018-05-01T00:36,58
2018-05-01T00:38,55
2018-05-01T00:43,52
2018-05-01T00:49,54
2018-05-01T00:53,52
2018-05-01T00:58,53
2018-05-01T01:03,53
2018-05-01T01:08,52
2018-05-01T01:14,51
2018-05-01T01:18,52
2018-05-01T01:23,51
2018-05-01T01:29,52
2018-05-01T01:33,53
2018-05-01T01:38,53
2018-05-01T01:43,52
2018-05-01T01:49,52
2018-05-01T01:53,53
2018-05-01T01:58,53
2018-05-01T02:03,52
2018-05-01T02:09,52
2018-05-01T02:13,52
2018-05-01T02:19,51
2018-05-01T02:23,52
2018-05-01T02:28,53
2018-05-01T02:33,53
2018-05-01T02:40,62
2018-05-01T02:44,54
2018-05-01T02:48,53
2018-05-01T02:53,51
2018-05-01T02:58,52
2018-05-01T03:03,54
2018-05-01T03:09,53
2018-05-01T03:13,55
2018-05-01T03:20,55
2018-05-01T03:23,53
2018-05-01T03:28,54
2018-05-01T03:33,54
2018-05-01T03:38,54
2018-05-01T03:43,53
2018-05-01T03:48,53
2018-05-01T03:53,53
2018-05-01T03:58,52
2018-05-01T04:03,52
2018-05-01T04:08,56
2018-05-01T04:13,56
2018-05-01T04:18,57
2018-05-01T04:24,56
2018-05-01T04:28,57
2018-05-01T04:36,54
2018-05-01T04:38,56
2018-05-01T04:43,53
2018-05-01T04:48,53
2018-05-01T04:53,52
2018-05-01T04:58,52
2018-05-01T05:03,53
2018-05-01T05:08,53
2018-05-01T05:14,51
2018-05-01T05:18,53
2018-05-01T05:23,53
2018-05-01T05:29,53
2018-05-01T05:34,53
2018-05-01T05:38,52
2018-05-01T05:43,50
2018-05-01T05:48,50
2018-05-01T05:53,50
2018-05-01T05:58,50
2018-05-01T06:03,49
2018-05-01T06:08,49
2018-05-01T06:13,50
2018-05-01T06:18,51
2018-05-01T06:25,48
2018-05-01T06:28,49
2018-05-01T06:33,54
2018-05-01T06:38,51
2018-05-01T06:43,47
2018-05-01T06:49,48
2018-05-01T06:53,51
2018-05-01T06:58,56
2018-05-01T07:03,51
2018-05-01T07:08,50
2018-05-01T11:16,82
2018-05-01T11:20,72
2018-05-01T11:22,72
2018-05-01T11:27,76
2018-05-01T11:37,72
2018-05-01T11:41,70
2018-05-01T11:43,70
2018-05-01T11:49,68
2018-05-01T11:54,70
2018-05-01T11:59,66
2018-05-01T12:03,65
2018-05-01T12:10,76
2018-05-01T12:17,80
2018-05-01T12:29,86
2018-05-01T12:33,94
2018-05-01T12:47,86
2018-05-01T12:52,83
2018-05-01T12:54,82
2018-05-01T12:58,99
2018-05-01T13:01,86
2018-05-01T13:04,94
2018-05-01T13:05,91
2018-05-01T13:08,106
2018-05-01T13:11,108
2018-05-01T13:14,81
2018-05-01T13:20,76
2018-05-01T13:25,81
2018-05-01T13:31,78
2018-05-01T13:33,69
2018-05-01T13:40,76
2018-05-01T13:45,74
2018-05-01T13:50,76
2018-05-01T13:57,76
2018-05-01T13:59,76
2018-05-01T14:07,75
2018-05-01T14:08,78
2018-05-01T14:15,71
2018-05-01T14:18,53
2018-05-01T14:25,68
2018-05-01T14:31,76
2018-05-01T14:36,72
2018-05-01T14:39,75
2018-05-01T14:45,72
2018-05-01T14:48,72
2018-05-01T14:54,70
2018-05-01T15:01,77
2018-05-01T15:04,58
2018-05-01T15:12,76
2018-05-01T15:14,74
2018-05-01T15:20,68
2018-05-01T15:26,67
2018-05-01T15:31,63
2018-05-01T15:36,68
2018-05-01T15:40,67
2018-05-01T15:43,67
2018-05-01T15:44,66
2018-05-01T15:45,67
2018-05-01T15:46,71
2018-05-01T15:48,66
2018-05-01T15:54,61
2018-05-01T15:59,71
2018-05-01T16:09,59
2018-05-01T16:17,70
2018-05-01T16:19,71
2018-05-01T16:25,70
2018-05-01T16:36,75
2018-05-01T16:40,77
2018-05-01T16:45,86
2018-05-01T16:51,75
2018-05-01T16:53,69
2018-05-01T16:58,66
2018-05-01T17:03,65
2018-05-01T17:09,102
2018-05-01T17:13,86
2018-05-01T17:16,102
2018-05-01T17:20,73
2018-05-01T17:24,67
2018-05-01T17:30,68
2018-05-01T17:35,68
2018-05-01T17:36,70
