Day,Min,Max,Top_Mode,Bottom_Mode,Mean,Median
2018-05-01,47,108,53,52,68,68
2018-05-02,58,114,64,61,72,68
2018-05-03,47,108,61,52,65,61
2018-05-04,50,105,70,69,77,78
2018-05-06,61,148,63,61,73,66
2018-05-07,45,103,47,46,69,82
2018-05-08,47,120,67,65,63,66
2018-05-09,44,95,52,51,66,70
2018-05-10,49,116,54,51,66,62
2018-05-11,47,90,49,48,65,79
2018-05-12,46,100,51,50,62,57
2018-05-13,46,94,53,51,62,50
2018-05-14,44,124,49,48,59,50
2018-05-15,46,93,53,51,61,48
2018-05-16,47,142,69,68,68,73
2018-05-17,50,111,68,55,65,74
2018-05-18,47,95,50,49,60,49
2018-05-19,47,101,51,50,64,66
2018-05-20,48,155,50,49,67,71
2018-05-21,47,84,52,51,60,53
2018-05-22,46,135,62,49,63,68
2018-05-23,44,102,69,67,68,102
2018-05-24,49,103,71,60,68,72
2018-05-25,47,101,76,75,66,68
2018-05-26,48,108,51,49,65,65
2018-05-27,49,94,59,54,62,52
2018-05-28,50,98,53,51,65,65
2018-05-29,46,92,62,55,63,67
2018-05-30,48,95,54,50,63,80
2018-05-31,46,105,66,65,67,70
2018-06-01,41,129,56,49,64,59
2018-06-02,48,92,54,53,62,77
2018-06-03,46,97,49,48,64,85
2018-06-04,46,113,69,56,67,64
2018-06-05,48,98,51,50,64,67
2018-06-06,51,99,60,58,64,65
2018-06-07,47,94,65,63,63,82
2018-06-08,48,99,50,49,59,49
2018-06-09,48,96,67,60,63,59
2018-06-10,46,96,49,48,64,67
2018-06-11,49,104,50,49,66,88
2018-06-12,44,101,68,67,66,70
2018-06-13,41,95,69,68,66,83
2018-06-14,50,103,54,53,66,73
2018-06-15,46,106,50,49,70,80
2018-06-16,50,114,70,59,68,92
2018-06-17,45,110,70,53,66,92
2018-06-18,50,89,70,61,64,64
2018-06-19,45,113,50,49,65,67
2018-06-20,45,122,68,67,66,83
2018-06-21,46,90,64,63,64,63
2018-06-22,47,106,57,54,62,69
2018-06-23,45,179,49,48,65,78
2018-06-24,45,97,62,49,64,65
2018-06-25,47,87,48,47,64,72
2018-06-26,45,93,46,45,61,46
2018-06-27,46,91,51,50,63,58
2018-06-28,43,86,68,50,63,69
2018-06-29,42,107,50,48,63,67
2018-06-30,44,78,49,47,61,59
2018-07-01,44,77,58,44,62,59
2018-07-02,44,93,54,46,61,70
2018-07-03,43,100,47,46,65,68
2018-07-04,46,93,48,47,61,57
2018-07-05,47,104,70,52,64,64
2018-07-06,44,108,71,69,65,71
2018-07-07,46,95,63,62,66,59
2018-07-08,43,100,64,46,62,47
2018-07-09,60,84,72,66,73,76
2018-07-10,45,104,48,47,64,74
2018-07-11,46,101,66,55,68,56
2018-07-12,43,124,57,56,63,54
2018-07-13,42,79,70,65,64,66
2018-07-14,44,91,48,47,60,47
2018-07-15,44,90,51,49,62,73
2018-07-16,45,90,68,66,62,59
2018-07-17,48,167,62,53,67,66
2018-07-18,45,97,74,70,66,64
2018-07-19,46,87,67,49,63,71
2018-07-20,47,106,65,49,64,67
2018-07-21,46,135,49,47,63,67
2018-07-22,41,96,64,61,59,70
2018-07-23,42,94,60,53,61,65
2018-07-24,44,94,66,60,62,49
2018-07-25,43,93,49,48,62,89
2018-07-26,43,96,66,47,63,77
2018-07-27,42,111,69,46,62,66
2018-07-28,45,100,65,63,61,59
2018-07-29,41,94,70,65,66,60
2018-07-30,46,92,74,49,64,83
2018-07-31,47,91,66,60,63,73
2018-08-01,42,83,43,42,56,52
2018-08-02,42,87,44,43,57,63
2018-08-03,40,90,41,40,55,71
2018-08-04,41,105,42,41,59,56
2018-08-05,42,104,45,44,58,61
2018-08-06,40,93,70,65,62,86
2018-08-07,48,94,60,59,64,64
2018-08-08,43,78,56,54,57,54
2018-08-09,42,99,59,44,59,65
2018-08-10,43,95,45,44,61,69
2018-08-11,52,83,58,52,65,58
